table,variable,themes
female_respondent,METHX52,contraception_sexual
female_respondent,METHX53,contraception_sexual
female_respondent,METHX54,contraception_sexual
female_respondent,METHX55,contraception_sexual
female_respondent,METHX56,contraception_sexual
female_respondent,METHX57,contraception_sexual
female_respondent,METHX58,contraception_sexual
female_respondent,METHX59,contraception_sexual
female_respondent,METHX60,contraception_sexual
female_respondent,METHX61,contraception_sexual
female_respondent,METHX62,contraception_sexual
female_respondent,METHX63,contraception_sexual
female_respondent,METHX64,contraception_sexual
female_respondent,METHX65,contraception_sexual
female_respondent,METHX66,contraception_sexual
female_respondent,METHX67,contraception_sexual
female_respondent,METHX68,contraception_sexual
female_respondent,METHX69,contraception_sexual
female_respondent,METHX70,contraception_sexual
female_respondent,METHX71,contraception_sexual
female_respondent,METHX72,contraception_sexual
female_respondent,METHX73,contraception_sexual
female_respondent,METHX74,contraception_sexual
female_respondent,METHX75,contraception_sexual
female_respondent,METHX76,contraception_sexual
female_respondent,METHX77,contraception_sexual
female_respondent,METHX78,contraception_sexual
female_respondent,METHX79,contraception_sexual
female_respondent,METHX80,contraception_sexual
female_respondent,METHX81,contraception_sexual
female_respondent,METHX82,contraception_sexual
female_respondent,METHX83,contraception_sexual
female_respondent,METHX84,contraception_sexual
female_respondent,METHX85,contraception_sexual
female_respondent,METHX86,contraception_sexual
female_respondent,METHX87,contraception_sexual
female_respondent,METHX88,contraception_sexual
female_respondent,METHX89,contraception_sexual
female_respondent,METHX90,contraception_sexual
female_respondent,METHX91,contraception_sexual
female_respondent,METHX92,contraception_sexual
female_respondent,METHX93,contraception_sexual
female_respondent,METHX94,contraception_sexual
female_respondent,METHX95,contraception_sexual
female_respondent,METHX96,contraception_sexual
female_respondent,METHX97,contraception_sexual
female_respondent,METHX98,contraception_sexual
female_respondent,METHX99,contraception_sexual
female_respondent,METHX100,contraception_sexual
female_respondent,METHX101,contraception_sexual
female_respondent,METHX102,contraception_sexual
female_respondent,METHX103,contraception_sexual
female_respondent,METHX104,contraception_sexual
female_respondent,METHX105,contraception_sexual
female_respondent,METHX106,contraception_sexual
female_respondent,METHX107,contraception_sexual
female_respondent,METHX108,contraception_sexual
female_respondent,METHX109,contraception_sexual
female_respondent,METHX110,contraception_sexual
female_respondent,METHX111,contraception_sexual
female_respondent,METHX112,contraception_sexual
female_respondent,METHX113,contraception_sexual
female_respondent,METHX114,contraception_sexual
female_respondent,METHX115,contraception_sexual
female_respondent,METHX116,contraception_sexual
female_respondent,METHX117,contraception_sexual
female_respondent,METHX118,contraception_sexual
female_respondent,METHX119,contraception_sexual
female_respondent,METHX120,contraception_sexual
female_respondent,METHX121,contraception_sexual
female_respondent,METHX122,contraception_sexual
female_respondent,METHX123,contraception_sexual
female_respondent,METHX124,contraception_sexual
female_respondent,METHX125,contraception_sexual
female_respondent,METHX126,contraception_sexual
female_respondent,METHX127,contraception_sexual
female_respondent,METHX128,contraception_sexual
female_respondent,METHX129,contraception_sexual
female_respondent,METHX130,contraception_sexual
female_respondent,METHX131,contraception_sexual
female_respondent,METHX132,contraception_sexual
female_respondent,METHX133,contraception_sexual
