analysis_set,method,endpoint,group,n,events,weighted_prevalence,baseline_weighted_prevalence,prevalence_ratio,risk_difference,group_share
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,15-24 / parity 1-2,120,93,0.8071247537262886,0.6840133299372122,1.1799839541144281,0.12311142378907636,0.047524752475247525
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,15-24 / parity 3+,11,11,1.0,0.6840133299372122,1.4619598131103575,0.3159866700627878,0.004356435643564357
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,25-34 / parity 0,132,104,0.765803757337694,0.6840133299372122,1.1195743179566247,0.08179042740048181,0.052277227722772275
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,25-34 / parity 1-2,658,432,0.6305782402133632,0.6840133299372122,0.9218800462137865,-0.05343508972384903,0.2605940594059406
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,25-34 / parity 3+,241,193,0.7905011101238075,0.6840133299372122,1.1556808552201316,0.10648778018659533,0.09544554455445545
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,35-44 / parity 0,92,75,0.7610618786856073,0.6840133299372122,1.112641881928628,0.07704854874839506,0.03643564356435643
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,35-44 / parity 1-2,821,463,0.5567245062181644,0.6840133299372122,0.8139088550646636,-0.12728882371904782,0.32514851485148516
ever-pregnant stratum,Age x parity strata,unintended_mistimed_pregnancy_history,35-44 / parity 3+,400,326,0.8172599471565535,0.6840133299372122,1.1948011996075756,0.13324661721934128,0.15841584158415842
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,15-24 / parity 0,50,0,0.0,0.10748268949904073,0.0,-0.10748268949904073,0.019801980198019802
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,15-24 / parity 1-2,120,14,0.06966299992864841,0.10748268949904073,0.6481322737022704,-0.03781968957039232,0.047524752475247525
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,15-24 / parity 3+,11,4,0.23655810278625825,0.10748268949904073,2.2008948965532675,0.1290754132872175,0.004356435643564357
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,25-34 / parity 0,132,9,0.07194554528895256,0.10748268949904073,0.6693686734513157,-0.035537144210088176,0.052277227722772275
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,25-34 / parity 1-2,658,62,0.0972181213962693,0.10748268949904073,0.9045002674327103,-0.010264568102771432,0.2605940594059406
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,25-34 / parity 3+,241,34,0.14918302923878085,0.10748268949904073,1.3879726115349234,0.04170033973974012,0.09544554455445545
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,35-44 / parity 0,92,5,0.09350381171885869,0.10748268949904073,0.8699429848161103,-0.013978877780182045,0.03643564356435643
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,35-44 / parity 1-2,821,84,0.09352239582249952,0.10748268949904073,0.8701158880410617,-0.01396029367654121,0.32514851485148516
ever-pregnant stratum,Age x parity strata,adverse_pregnancy_history_proxy,35-44 / parity 3+,400,62,0.15659385876100007,0.10748268949904073,1.4569216633009323,0.04911116926195934,0.15841584158415842
